buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5800.0,116.0,100.0,10.0,11.653338582604972,11600,5800.0,1166.5437729358673
5850.0,117.0,100.0,0.0,11.547757930172844,11700,5850.0,1175.203463792801
5900.0,118.0,100.0,0.0,11.223347151445871,11800,5900.0,1184.113463640213
5950.0,119.0,100.0,0.0,10.932178231112017,11900,5950.0,1193.2607724666595
6000.0,120.0,100.0,0.0,11.606165864163355,12000,6000.0,1201.876883506775
6050.0,121.0,100.0,14.0,2.9565699372099385,12100,6050.0,1235.6998629570007
6100.0,122.0,100.0,0.0,11.660333364618051,12200,6100.0,1244.2759482860565
6150.0,123.0,100.0,0.0,11.170453506184238,12300,6150.0,1253.228137254715
6200.0,124.0,100.0,12.0,11.51022940716324,12400,6200.0,1261.9160630702972
6250.0,125.0,100.0,0.0,11.506029556447002,12500,6250.0,1270.607159614563
6300.0,126.0,100.0,19.0,11.584689111880293,12600,6300.0,1279.2392444610596
6350.0,127.0,100.0,0.0,11.215178978769659,12700,6350.0,1288.1557323932648
6400.0,128.0,100.0,0.0,11.365210809380102,12800,6400.0,1296.9545147418976
6450.0,129.0,100.0,15.0,11.268453239899534,12900,6450.0,1305.8288486003876
6500.0,130.0,100.0,0.0,11.062990327416513,13000,6500.0,1314.8679974079132
6550.0,131.0,100.0,18.0,11.558667602132537,13100,6550.0,1323.519514799118
6600.0,132.0,100.0,0.0,11.618734136203358,13200,6600.0,1332.1263055801392
6650.0,133.0,100.0,0.0,11.446549606661856,13300,6650.0,1340.862563610077
6700.0,134.0,100.0,0.0,11.241067563514129,13400,6700.0,1349.7585172653198
6750.0,135.0,100.0,16.0,10.958243860993491,13500,6750.0,1358.8840684890747
6800.0,136.0,100.0,0.0,10.998508543561858,13600,6800.0,1367.9762117862701
6850.0,137.0,100.0,0.0,11.321537401931659,13700,6850.0,1376.808935880661
6900.0,138.0,100.0,0.0,11.429535304798899,13800,6900.0,1385.5581991672516
6950.0,139.0,100.0,0.0,11.403274601481856,13900,6950.0,1394.3276114463806
7000.0,140.0,100.0,0.0,10.565486633864813,14000,7000.0,1403.7923920154572
7050.0,141.0,100.0,0.0,2.9421500809365826,14100,7050.0,1437.7811424732208
7100.0,142.0,100.0,16.0,11.247935279233488,14200,7100.0,1446.671664237976
7150.0,143.0,100.0,11.0,11.290768963274308,14300,7150.0,1455.5284585952759
7200.0,144.0,100.0,0.0,11.22539180508908,14400,7200.0,1464.4368348121643
7250.0,145.0,100.0,15.0,11.24850027514455,14500,7250.0,1473.3269102573395
7300.0,146.0,100.0,0.0,11.343529329038574,14600,7300.0,1482.1425099372864
7350.0,147.0,100.0,0.0,11.373925687331642,14700,7350.0,1490.9345500469208
7400.0,148.0,100.0,0.0,11.595919726442387,14800,7400.0,1499.5582747459412
7450.0,149.0,100.0,0.0,11.187575340284758,14900,7450.0,1508.4967632293701
7500.0,150.0,100.0,8.0,11.248886725215998,15000,7500.0,1517.3865330219269
7550.0,151.0,100.0,0.0,11.33312378211187,15100,7550.0,1526.2102267742157
7600.0,152.0,100.0,0.0,11.675349706216714,15200,7600.0,1534.7752821445465
7650.0,153.0,100.0,11.0,11.515148653253544,15300,7650.0,1543.4594960212708
7700.0,154.0,100.0,0.0,10.851259445234515,15400,7700.0,1552.6750175952911
7750.0,155.0,100.0,10.0,11.462308259032998,15500,7750.0,1561.3992652893066
7800.0,156.0,100.0,13.0,11.548426899694864,15600,7800.0,1570.0584547519684
7850.0,157.0,100.0,0.0,11.485631609869534,15700,7850.0,1578.7649862766266
7900.0,158.0,100.0,0.0,11.533942807889678,15800,7900.0,1587.4350492954254
7950.0,159.0,100.0,13.0,11.456867582905625,15900,7950.0,1596.16343998909
8000.0,160.0,100.0,0.0,11.064943980988037,16000,8000.0,1605.2009930610657
8050.0,161.0,100.0,0.0,2.9270486899705754,16100,8050.0,1639.3650999069214
8100.0,162.0,100.0,0.0,11.261469743504652,16200,8100.0,1648.2449367046356
8150.0,163.0,100.0,9.0,11.23373252332404,16300,8150.0,1657.1466989517212
8200.0,164.0,100.0,0.0,11.65002117628132,16400,8200.0,1665.7303755283356
8250.0,165.0,100.0,0.0,11.619319294644857,16500,8250.0,1674.336733341217
8300.0,166.0,100.0,17.0,11.348628267016087,16600,8300.0,1683.1483721733093
8350.0,167.0,100.0,0.0,10.893521107680158,16700,8350.0,1692.328141450882
8400.0,168.0,100.0,0.0,11.341745338350524,16800,8400.0,1701.1451280117035
8450.0,169.0,100.0,0.0,11.4844170576192,16900,8450.0,1709.8525803089142
8500.0,170.0,100.0,0.0,11.442103917818148,17000,8500.0,1718.5922327041626
8550.0,171.0,100.0,16.0,11.237638957239838,17100,8550.0,1727.4909002780914
8600.0,172.0,100.0,0.0,11.229351665460683,17200,8600.0,1736.3961353302002
8650.0,173.0,100.0,17.0,11.745389610636911,17300,8650.0,1744.910115480423
8700.0,174.0,100.0,0.0,11.705767254080186,17400,8700.0,1753.452914237976
8750.0,175.0,100.0,15.0,11.237258999832124,17500,8750.0,1762.351883172989
8800.0,176.0,100.0,12.0,11.254504561312748,17600,8800.0,1771.2372155189514
8850.0,177.0,100.0,17.0,11.342762107460095,17700,8850.0,1780.0534117221832
8900.0,178.0,100.0,15.0,11.224697854988325,17800,8900.0,1788.9623386859894
8950.0,179.0,100.0,12.0,11.34987907058101,17900,8950.0,1797.7730066776276
9000.0,180.0,100.0,0.0,11.472085766689785,18000,9000.0,1806.4898188114166
9050.0,181.0,100.0,0.0,2.9033542857623056,18100,9050.0,1840.9327399730682
9100.0,182.0,100.0,0.0,11.403027825476503,18200,9100.0,1849.7023422718048
9150.0,183.0,100.0,14.0,11.370767285187236,18300,9150.0,1858.496824979782
9200.0,184.0,100.0,9.0,11.090713797532356,18400,9200.0,1867.5133783817291
9250.0,185.0,100.0,13.0,11.043241900741721,18500,9250.0,1876.5686914920807
9300.0,186.0,100.0,11.0,11.017807442386152,18600,9300.0,1885.6449089050293
9350.0,187.0,100.0,14.0,11.728312227210324,18700,9350.0,1894.1712863445282
9400.0,188.0,100.0,16.0,11.661342892309438,18800,9400.0,1902.7466294765472
9450.0,189.0,100.0,0.0,11.537655556568458,18900,9450.0,1911.4139032363892
9500.0,190.0,100.0,0.0,11.389692092732203,19000,9500.0,1920.1937732696533
9550.0,191.0,100.0,0.0,11.011318967727702,19100,9550.0,1929.2753386497498
9600.0,192.0,100.0,12.0,11.421730557594667,19200,9600.0,1938.0305805206299
9650.0,193.0,100.0,12.0,11.457268483046589,19300,9650.0,1946.7586658000946
9700.0,194.0,100.0,10.0,11.70839184080823,19400,9700.0,1955.2995495796204
9750.0,195.0,100.0,0.0,11.468175835570637,19500,9750.0,1964.0193338394165
9800.0,196.0,100.0,7.0,11.02774441444739,19600,9800.0,1973.087372303009
9850.0,197.0,100.0,17.0,10.995471578215549,19700,9850.0,1982.1820268630981
9900.0,198.0,100.0,0.0,11.600085370882804,19800,9900.0,1990.8026542663574
9950.0,199.0,100.0,0.0,11.565083248363889,19900,9950.0,1999.449372768402
10000.0,200.0,100.0,0.0,11.220529651939465,20000,10000.0,2008.3616092205048
10050.0,201.0,100.0,0.0,2.9004791660591303,20100,10050.0,2042.8386723995209
10100.0,202.0,100.0,11.0,11.185111919014352,20200,10100.0,2051.779129743576
10150.0,203.0,100.0,17.0,11.238410693089861,20300,10150.0,2060.6771869659424
10200.0,204.0,100.0,14.0,11.5337801006336,20400,10200.0,2069.3473720550537
10250.0,205.0,100.0,16.0,11.382138090117964,20500,10250.0,2078.1330687999725
10300.0,206.0,100.0,0.0,11.371967783169808,20600,10300.0,2086.92662358284
10350.0,207.0,100.0,12.0,11.51515750517513,20700,10350.0,2095.6108310222626
10400.0,208.0,100.0,15.0,10.920887472082674,20800,10400.0,2104.7675971984863
10450.0,209.0,100.0,12.0,11.051735976985388,20900,10450.0,2113.8159506320953
10500.0,210.0,100.0,0.0,10.906535503023587,21000,10500.0,2122.9847660064697
10550.0,211.0,100.0,14.0,10.741269835944758,21100,10550.0,2132.294653892517
10600.0,212.0,100.0,13.0,11.383735525431103,21200,10600.0,2141.079117536545
10650.0,213.0,100.0,19.0,11.458010895248616,21300,10650.0,2149.8066368103027
10700.0,214.0,100.0,0.0,11.335001246786792,21400,10700.0,2158.628869533539
10750.0,215.0,100.0,14.0,11.38212141069894,21500,10750.0,2167.414579153061
10800.0,216.0,100.0,14.0,11.443539950106617,21600,10800.0,2176.1531352996826
10850.0,217.0,100.0,0.0,11.592263904823412,21700,10850.0,2184.779578924179
10900.0,218.0,100.0,0.0,11.476682284020404,21800,10900.0,2193.492899656296
10950.0,219.0,100.0,0.0,11.278151657289504,21900,10950.0,2202.3596017360687
11000.0,220.0,100.0,19.0,11.660565469190592,22000,11000.0,2210.935517311096
11050.0,221.0,100.0,14.0,2.948530411398229,22100,11050.0,2244.8507187366486
11100.0,222.0,100.0,16.0,11.526670504764246,22200,11100.0,2253.5262517929077
11150.0,223.0,100.0,0.0,11.506748312020095,22300,11150.0,2262.2168056964874
11200.0,224.0,100.0,13.0,11.356689775160339,22400,11200.0,2271.022189617157
11250.0,225.0,100.0,11.0,11.306288444727066,22500,11250.0,2279.866827726364
11300.0,226.0,100.0,18.0,10.996269221069895,22600,11300.0,2288.9608211517334
11350.0,227.0,100.0,12.0,10.958177725990744,22700,11350.0,2298.0864272117615
11400.0,228.0,100.0,11.0,11.526723089285259,22800,11400.0,2306.7619214057922
11450.0,229.0,100.0,0.0,10.671191154452693,22900,11450.0,2316.1329476833344
11500.0,230.0,100.0,14.0,11.274926190741741,23000,11500.0,2325.002186536789
11550.0,231.0,100.0,0.0,11.155267354079918,23100,11550.0,2333.9665627479553
11600.0,232.0,100.0,15.0,11.278841010712052,23200,11600.0,2342.8327238559723
11650.0,233.0,100.0,15.0,11.246707747513677,23300,11650.0,2351.7242159843445
11700.0,234.0,100.0,0.0,11.235909485637576,23400,11700.0,2360.6242532730103
11750.0,235.0,100.0,0.0,11.498543993423551,23500,11750.0,2369.3210077285767
11800.0,236.0,100.0,0.0,11.311111441916017,23600,11800.0,2378.161873102188
11850.0,237.0,100.0,14.0,11.29768386792591,23700,11850.0,2387.0132460594177
11900.0,238.0,100.0,15.0,11.611451627178273,23800,11900.0,2395.6254348754883
11950.0,239.0,100.0,12.0,11.388738944709155,23900,11950.0,2404.4060394763947
12000.0,240.0,100.0,11.0,11.543909364035594,24000,12000.0,2413.0686173439026
12050.0,241.0,100.0,8.0,2.8841486063389556,24100,12050.0,2447.7408962249756
12100.0,242.0,100.0,10.0,11.064169616568314,24200,12100.0,2456.779081583023
12150.0,243.0,100.0,16.0,11.109789664067383,24300,12150.0,2465.7801535129547
12200.0,244.0,100.0,10.0,11.24054910256456,24400,12200.0,2474.6765172481537
12250.0,245.0,100.0,17.0,10.889140025385382,24500,12250.0,2483.8599803447723
12300.0,246.0,100.0,15.0,11.10197395412639,24600,12300.0,2492.8673889636993
12350.0,247.0,100.0,0.0,11.613325017237367,24700,12350.0,2501.4781885147095
12400.0,248.0,100.0,15.0,11.371062607612638,24800,12400.0,2510.272442817688
12450.0,249.0,100.0,11.0,11.589829145031032,24900,12450.0,2518.900698661804
12500.0,250.0,100.0,0.0,11.231696560299891,25000,12500.0,2527.8040742874146
12550.0,251.0,100.0,13.0,11.34738971192083,25100,12550.0,2536.616674900055
12600.0,252.0,100.0,12.0,11.095623453580204,25200,12600.0,2545.6292386054993
12650.0,253.0,100.0,11.0,11.431641449468502,25300,12650.0,2554.376890182495
12700.0,254.0,100.0,18.0,11.431504671355388,25400,12700.0,2563.1246461868286
12750.0,255.0,100.0,0.0,11.153426115277062,25500,12750.0,2572.0905027389526
12800.0,256.0,100.0,18.0,11.238210145996383,25600,12800.0,2580.9887182712555
12850.0,257.0,100.0,15.0,11.608046222912025,25700,12850.0,2589.603433609009
12900.0,258.0,100.0,14.0,11.306131182696802,25800,12900.0,2598.4481933116913
12950.0,259.0,100.0,17.0,11.484110158092756,25900,12950.0,2607.1558785438538
13000.0,260.0,100.0,0.0,11.596932239286044,26000,13000.0,2615.778849840164
13050.0,261.0,100.0,0.0,2.917111147865624,26100,13050.0,2650.059341430664
13100.0,262.0,100.0,15.0,11.27861505848966,26200,13100.0,2658.9256794452667
13150.0,263.0,100.0,10.0,11.091222047730156,26300,13150.0,2667.9418194293976
13200.0,264.0,100.0,10.0,11.534827152940172,26400,13200.0,2676.611218214035
13250.0,265.0,100.0,17.0,11.252810651244761,26500,13250.0,2685.497888326645
13300.0,266.0,100.0,14.0,10.804130722052069,26600,13300.0,2694.7536084651947
13350.0,267.0,100.0,16.0,10.931921791078853,26700,13350.0,2703.901132106781
13400.0,268.0,100.0,11.0,11.05947583887981,26800,13400.0,2712.9431533813477
13450.0,269.0,100.0,14.0,11.05233618622274,26900,13450.0,2721.9910151958466
13500.0,270.0,100.0,16.0,11.001260935349956,27000,13500.0,2731.08088350296
13550.0,271.0,100.0,9.0,11.280272150593682,27100,13550.0,2739.945919275284
13600.0,272.0,100.0,14.0,11.26167172635466,27200,13600.0,2748.825597047806
13650.0,273.0,100.0,18.0,11.481335600271974,27300,13650.0,2757.5353865623474
13700.0,274.0,100.0,8.0,11.32365406568145,27400,13700.0,2766.3664598464966
13750.0,275.0,100.0,10.0,11.351990983805532,27500,13750.0,2775.1754887104034
13800.0,276.0,100.0,0.0,11.242223050928377,27600,13800.0,2784.0705273151398
13850.0,277.0,100.0,17.0,11.097495571510025,27700,13850.0,2793.081570625305
13900.0,278.0,100.0,13.0,11.37829168987803,27800,13900.0,2801.8702375888824
13950.0,279.0,100.0,12.0,11.406530502398136,27900,13950.0,2810.6371467113495
14000.0,280.0,100.0,12.0,11.4957057441994,28000,14000.0,2819.336048603058
